Consultant ID,Name,Level,Skillset,Main Skills,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024
1,Lindsey Wood,2,Software Development,"Version Control, Python, Software Design Patterns, Java, C#",61/99,27/133,120/40,118/42,53/107,63/97,93/67,90/70,12/148,137/23,66/94
2,Justin Thomas,4,Cybersecurity,"Incident Response, Network Security, Threat Analysis, Cryptography, Compliance",90/70,15/145,54/106,69/91,6/154,154/6,68/92,110/50,128/32,127/33,82/78
3,Amanda Medina,5,Cloud Computing,"GCP, Azure, Cloud Architecture, DevOps, AWS",132/28,17/143,111/49,74/86,153/7,38/122,66/94,11/149,41/119,19/141,120/40
4,Samuel Hernandez,1,Software Development,"Software Design Patterns, Java, C#, Python, Version Control",0/160,80/80,97/63,142/18,65/95,70/90,24/136,120/40,119/41,141/19,132/28
5,Chase Johnson,1,Software Development,"Version Control, C#, Python, Java, Software Design Patterns",124/36,40/120,90/70,116/44,115/45,18/142,21/139,123/37,100/60,142/18,15/145
6,Calvin Singleton,3,Cybersecurity,"Compliance, Cryptography, Incident Response, Network Security, Threat Analysis",17/143,139/21,17/143,136/24,19/141,54/106,159/1,125/35,134/26,70/90,73/87
7,Laura Carrillo,4,Cybersecurity,"Threat Analysis, Network Security, Compliance, Cryptography, Incident Response",69/91,7/153,144/16,72/88,125/35,42/118,18/142,47/113,23/137,44/116,109/51
8,Tracy Acosta,5,Software Development,"Python, Java, C#, Software Design Patterns, Version Control",72/88,139/21,110/50,151/9,124/36,130/30,94/66,156/4,49/111,131/29,99/61
9,Cindy Collins,2,Data Science,"Data Visualization, Machine Learning, R, Statistical Analysis, Python",118/42,30/130,37/123,78/82,133/27,18/142,96/64,20/140,141/19,111/49,9/151
10,Alyssa Johnson,3,Project Management,"Project Scheduling, Risk Management, Stakeholder Management, Agile Methodologies, Scrum",54/106,85/75,38/122,60/100,142/18,74/86,110/50,111/49,4/156,124/36,52/108
11,Benjamin Jackson,2,Software Development,"Java, Python, Version Control, Software Design Patterns, C#",121/39,80/80,117/43,81/79,31/129,69/91,38/122,30/130,41/119,64/96,133/27
12,Brendan Powell,2,Cybersecurity,"Compliance, Network Security, Threat Analysis, Incident Response, Cryptography",89/71,99/61,15/145,133/27,136/24,47/113,12/148,45/115,130/30,121/39,26/134
13,Timothy Carson,5,Machine Learning,"Python, TensorFlow, Scikit-learn, Deep Learning, PyTorch",111/49,158/2,34/126,13/147,17/143,1/159,45/115,144/16,140/20,110/50,87/73
14,William Case,3,Project Management,"Scrum, Stakeholder Management, Risk Management, Project Scheduling, Agile Methodologies",3/157,146/14,84/76,29/131,62/98,39/121,62/98,155/5,97/63,108/52,159/1
15,Tiffany Hubbard,5,Machine Learning,"PyTorch, Python, Scikit-learn, Deep Learning, TensorFlow",51/109,151/9,123/37,10/150,119/41,147/13,87/73,10/150,121/39,75/85,52/108
16,Justin Byrd,4,Software Development,"Python, C#, Java, Software Design Patterns, Version Control",139/21,117/43,100/60,93/67,118/42,158/2,126/34,42/118,74/86,123/37,18/142
17,Timothy Huffman,2,Software Development,"Java, C#, Software Design Patterns, Version Control, Python",119/41,116/44,56/104,26/134,50/110,138/22,132/28,143/17,57/103,21/139,100/60
18,Melissa Webster,3,Project Management,"Agile Methodologies, Project Scheduling, Stakeholder Management, Risk Management, Scrum",147/13,6/154,1/159,36/124,113/47,128/32,160/0,78/82,42/118,151/9,135/25
19,Paul Espinoza,2,Cybersecurity,"Compliance, Incident Response, Cryptography, Threat Analysis, Network Security",46/114,114/46,74/86,45/115,4/156,83/77,131/29,133/27,103/57,89/71,101/59
20,Wayne Wilson,2,Software Development,"Version Control, Java, Software Design Patterns, Python, C#",86/74,81/79,50/110,149/11,33/127,131/29,90/70,101/59,118/42,146/14,59/101
21,Andrew Moreno,3,Project Management,"Agile Methodologies, Risk Management, Scrum, Stakeholder Management, Project Scheduling",20/140,16/144,41/119,79/81,11/149,122/38,62/98,14/146,143/17,27/133,108/52
22,Leah Pitts,3,Machine Learning,"Python, Scikit-learn, PyTorch, TensorFlow, Deep Learning",93/67,82/78,109/51,54/106,145/15,113/47,107/53,134/26,13/147,18/142,65/95
23,Taylor Barnett,2,Cybersecurity,"Threat Analysis, Cryptography, Incident Response, Network Security, Compliance",113/47,2/158,102/58,49/111,126/34,70/90,18/142,158/2,123/37,49/111,114/46
24,Kathryn Osborne,4,Project Management,"Agile Methodologies, Scrum, Risk Management, Stakeholder Management, Project Scheduling",131/29,22/138,151/9,44/116,133/27,121/39,123/37,0/160,50/110,106/54,140/20
25,Sherry Potter,5,Cybersecurity,"Incident Response, Network Security, Compliance, Threat Analysis, Cryptography",15/145,108/52,14/146,60/100,45/115,113/47,146/14,32/128,20/140,64/96,77/83
26,Gary Hall,1,Software Development,"Java, Python, Version Control, C#, Software Design Patterns",80/80,49/111,155/5,84/76,81/79,120/40,106/54,72/88,6/154,79/81,71/89
27,Michael Owens,1,Cloud Computing,"GCP, Azure, AWS, DevOps, Cloud Architecture",1/159,1/159,22/138,131/29,10/150,56/104,82/78,30/130,83/77,86/74,113/47
28,Stephen Nielsen,2,Project Management,"Stakeholder Management, Risk Management, Project Scheduling, Agile Methodologies, Scrum",4/156,77/83,67/93,146/14,56/104,90/70,92/68,152/8,1/159,77/83,88/72
29,Carolyn Warren,1,Data Science,"Statistical Analysis, Data Visualization, Machine Learning, R, Python",142/18,160/0,38/122,122/38,138/22,86/74,18/142,27/133,30/130,83/77,55/105
30,Rita Patterson,2,Machine Learning,"PyTorch, Scikit-learn, Deep Learning, TensorFlow, Python",22/138,70/90,114/46,130/30,64/96,121/39,5/155,44/116,60/100,129/31,143/17
31,Brian Jones,2,Cybersecurity,"Network Security, Incident Response, Threat Analysis, Cryptography, Compliance",112/48,95/65,44/116,42/118,117/43,53/107,7/153,61/99,100/60,111/49,27/133
32,Eric Warren,4,Data Science,"Statistical Analysis, Data Visualization, Machine Learning, R, Python",147/13,137/23,74/86,114/46,96/64,134/26,141/19,85/75,66/94,71/89,142/18
33,Deborah Rodriguez,4,Software Development,"Software Design Patterns, Version Control, Python, Java, C#",13/147,69/91,104/56,83/77,18/142,50/110,83/77,30/130,138/22,0/160,96/64
34,Joshua Rivera,4,Machine Learning,"Deep Learning, TensorFlow, Scikit-learn, PyTorch, Python",117/43,119/41,105/55,43/117,139/21,124/36,6/154,64/96,12/148,149/11,54/106
35,Sarah Poole,4,Cybersecurity,"Cryptography, Incident Response, Compliance, Network Security, Threat Analysis",3/157,36/124,102/58,50/110,39/121,113/47,1/159,79/81,144/16,29/131,47/113
36,Matthew Horton,3,Project Management,"Project Scheduling, Scrum, Stakeholder Management, Risk Management, Agile Methodologies",88/72,158/2,91/69,94/66,57/103,159/1,159/1,102/58,136/24,34/126,89/71
37,Karla Simon,3,Machine Learning,"Scikit-learn, Deep Learning, PyTorch, Python, TensorFlow",29/131,14/146,131/29,39/121,69/91,48/112,116/44,106/54,28/132,141/19,124/36
38,Andrew Armstrong,4,Data Science,"Machine Learning, Data Visualization, R, Python, Statistical Analysis",14/146,19/141,65/95,68/92,108/52,107/53,12/148,133/27,107/53,71/89,56/104
39,Collin Wiley,5,Software Development,"Software Design Patterns, Python, Version Control, C#, Java",155/5,111/49,54/106,53/107,66/94,145/15,124/36,19/141,34/126,30/130,22/138
40,James Lloyd,4,Project Management,"Risk Management, Scrum, Agile Methodologies, Project Scheduling, Stakeholder Management",86/74,153/7,62/98,56/104,90/70,141/19,97/63,135/25,43/117,131/29,40/120
